panel,warming_level,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
b,2 degC,32,WCA,W.C.Asia,69.58047899645442,58.87182436324498,82.77131616044481,percent
b,2 degC,33,ECA,E.C.Asia,68.47420483071093,57.90567878007259,83.52937185988503,percent
b,2 degC,34,TIB,Tibetan-Plateau,70.7878670441792,59.902714865103476,86.22528458662897,percent
b,2 degC,35,EAS,E.Asia,66.81704034740557,58.17310371370308,79.52556861019714,percent
b,2 degC,36,ARP,Arabian-Peninsula,69.69200569681209,59.4316118245098,83.97962907572004,percent
b,2 degC,37,SAS,S.Asia,69.4798568678334,58.88480746542519,85.55741943736601,percent
b,2 degC,38,SEA,S.E.Asia,70.54749755398872,60.64521097693043,85.54945670198177,percent
b,2 degC,39,NAU,N.Australia,70.01174301859746,60.04615129282702,84.79953875989587,percent
b,2 degC,40,CAU,C.Australia,68.57905087988718,57.09095337831265,85.78196715325545,percent
b,2 degC,41,EAU,E.Australia,68.96193308555245,58.30567325523379,81.91758068031102,percent
b,2 degC,42,SAU,S.Australia,76.14031337702137,62.90028938269874,95.05208176072962,percent
b,2 degC,43,NZ,New-Zealand,69.67874752316297,58.906987017242884,87.03163505429303,percent
b,2 degC,44,EAN,E.Antarctica,71.20736641102756,53.31708879804849,105.51379119461424,percent
b,2 degC,45,WAN,W.Antarctica,69.28978524602272,49.934279999042054,114.39527974787902,percent
b,2 degC,46,LSAT,Global Land,70.36277195979419,60.726109260065044,84.99020294101675,percent
