panel,forcing,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
b,NAT,41,EAU,E.Australia,0.006850467155466625,-0.15007535754920198,0.16377629186013515,degC
b,NAT,42,SAU,S.Australia,0.10529995804844533,-0.05087181560035614,0.2614717316972467,degC
b,NAT,43,NZ,New-Zealand,-0.07567946201943002,-0.20876018879305505,0.057401264754194936,degC
b,NAT,44,EAN,E.Antarctica,0.058515964678665405,-0.15757507404005755,0.27460700339738825,degC
b,NAT,45,WAN,W.Antarctica,0.014805030613712272,-0.226806989187895,0.25641705041531937,degC
b,NAT,46,LSAT,Global Land,0.043920392726481065,-0.09298214574171049,0.18082293119467255,degC
c,GHG,0,GIC,Greenland/Iceland,2.045667221999849,0.6300741432799879,3.46126030071971,degC
c,GHG,1,NWN,N.W.North-America,3.020439425433645,2.265461212069071,3.7754176387982183,degC
c,GHG,2,NEN,N.E.North-America,2.7569491870079617,1.7446546586048506,3.769243715411072,degC
c,GHG,3,WNA,W.North-America,2.212667880718259,1.6924400099554893,2.7328957514810286,degC
c,GHG,4,CNA,C.North-America,1.8453749988287211,1.136619270671245,2.554130726986197,degC
c,GHG,5,ENA,E.North-America,2.0678428534982083,1.4763604354953102,2.659325271501106,degC
c,GHG,6,NCA,N.Central-America,1.3037671496330865,0.8018201460038823,1.8057141532622905,degC
c,GHG,7,SCA,S.Central-America,1.1313721067992393,0.7961301292523182,1.4666140843461601,degC
c,GHG,8,CAR,Caribbean,1.0772618276677284,0.7654078913008171,1.3891157640346394,degC
c,GHG,9,NWS,N.W.South-America,1.2905593566941516,0.8189724805015928,1.7621462328867101,degC
c,GHG,10,NSA,N.South-America,1.4764059113160344,0.7032501678784484,2.24956165475362,degC
c,GHG,11,NES,N.E.South-America,1.498436841483933,1.0081828256580887,1.988690857309777,degC
c,GHG,12,SAM,South-American-Monsoon,1.5429025154267757,0.851540987501817,2.2342640433517342,degC
c,GHG,13,SWS,S.W.South-America,1.0541689132718557,0.7002845183090842,1.408053308234627,degC
c,GHG,14,SES,S.E.South-America,1.0317520431112477,0.7452675431148373,1.318236543107658,degC
c,GHG,15,SSA,S.South-America,1.4134699174649938,1.1406146067921428,1.6863252281378447,degC
