year,prior_warming,posterior_warming,units,is_current_year,is_1p5C_crossing_year,is_2C_crossing_year
1894,-0.01811454412477817,-0.03146883636726816,degC,False,False,False
1895,-0.017303011116339,-0.03414745443299283,degC,False,False,False
1896,-0.016207155030648596,-0.03658140927844722,degC,False,False,False
1897,-0.01482289866684347,-0.03874087106846713,degC,False,False,False
1898,-0.013145401856066274,-0.040596110893845516,degC,False,False,False
1899,-0.011171646528567641,-0.042120457813869805,degC,False,False,False
1900,-0.008900092862780401,-0.04328949213386363,degC,False,False,False
1901,-0.006329866238336812,-0.04407890302456985,degC,False,False,False
1902,-0.003461067940339013,-0.044463403938277746,degC,False,False,False
1903,-0.0002954946870305508,-0.044418422480847264,degC,False,False,False
1904,0.003163045469655401,-0.043920238110291554,degC,False,False,False
1905,0.00690906543925035,-0.04294658331074075,degC,False,False,False
1906,0.010935823279628443,-0.04147711068257226,degC,False,False,False
1907,0.015236190849413245,-0.03949219358067391,degC,False,False,False
1908,0.019802667553863507,-0.03697610017484276,degC,False,False,False
1909,0.024626922274441715,-0.03391655133123067,degC,False,False,False
1910,0.02970109327389575,-0.03030205203112135,degC,False,False,False
1911,0.035016976994764554,-0.026122835035680025,degC,False,False,False
1912,0.04056525140275391,-0.02137180645084491,degC,False,False,False
1913,0.04633551275524217,-0.016044221106058187,degC,False,False,False
1914,0.052317233912328565,-0.010140186622432434,degC,False,False,False
1915,0.05849925423374744,-0.003666713749669648,degC,False,False,False
1916,0.06487053733452836,0.003368913217233316,degC,False,False,False
1917,0.0714190038363201,0.01095706774532329,degC,False,False,False
1918,0.07813089013226887,0.019084237269742732,degC,False,False,False
1919,0.08498911799689335,0.027727395169321323,degC,False,False,False
1920,0.091974505378742,0.036856447114711754,degC,False,False,False
1921,0.09906700624204295,0.04643623494550286,degC,False,False,False
1922,0.10624510669945247,0.05642712494311486,degC,False,False,False
1923,0.11348456247891156,0.06678362005473537,degC,False,False,False
1924,0.12075629118220824,0.07745206206702127,degC,False,False,False
1925,0.12802918473340844,0.0883719801812628,degC,False,False,False
1926,0.1352717639364728,0.0994815601239851,degC,False,False,False
1927,0.14245232048540796,0.11071785506298021,degC,False,False,False
1928,0.14953788357016634,0.12201520729102733,degC,False,False,False
1929,0.15649407121509074,0.1333034282741697,degC,False,False,False
1930,0.16328564724457367,0.14450948644345382,degC,False,False,False
1931,0.16987794929576794,0.1555614421219133,degC,False,False,False
1932,0.17623616749688675,0.16639101668769923,degC,False,False,False
1933,0.1823258156872525,0.17693410338184382,degC,False,False,False
1934,0.18811318013725672,0.18712878955754575,degC,False,False,False
1935,0.1935651280802254,0.19691294325507086,degC,False,False,False
1936,0.19864990306595992,0.2062267585491656,degC,False,False,False
1937,0.20333698933334973,0.21501401287633654,degC,False,False,False
1938,0.20759754342245412,0.22322262319920197,degC,False,False,False
1939,0.21140624520984663,0.23080735971629757,degC,False,False,False
1940,0.21474110197810273,0.23772806078320496,degC,False,False,False
1941,0.2175825115395722,0.2439457046281014,degC,False,False,False
1942,0.2199146919464552,0.2494264993037234,degC,False,False,False
1943,0.22172616435225176,0.2541461353243971,degC,False,False,False
1944,0.22300981845611484,0.2580910823597297,degC,False,False,False
